iter	Passed	Remaining
781	2805	782
782	2809	778
783	2812	774
784	2816	771
785	2819	767
786	2823	764
787	2826	760
788	2830	756
789	2833	753
790	2837	749
791	2840	746
792	2844	742
793	2847	738
794	2851	735
795	2855	731
796	2858	728
797	2861	724
798	2865	720
799	2869	717
800	2873	713
801	2876	710
802	2880	706
803	2883	703
804	2887	699
805	2890	695
806	2894	692
807	2897	688
808	2901	685
809	2905	681
810	2909	677
811	2912	674
812	2916	670
813	2919	667
814	2923	663
815	2926	660
816	2930	656
817	2934	652
818	2937	649
819	2941	645
820	2944	642
821	2948	638
822	2951	634
823	2955	631
824	2959	627
825	2962	624
826	2966	620
827	2969	616
828	2973	613
829	2976	609
830	2980	606
831	2984	602
832	2987	599
833	2991	595
834	2994	591
835	2998	588
836	3001	584
837	3005	580
838	3008	577
839	3012	573
840	3015	570
841	3019	566
842	3022	562
843	3026	559
844	3029	555
845	3033	552
846	3037	548
847	3040	544
848	3045	541
849	3048	537
850	3051	534
851	3055	530
852	3059	527
853	3062	523
854	3066	520
855	3069	516
856	3073	512
857	3077	509
858	3080	505
859	3083	502
860	3087	498
861	3090	494
862	3094	491
863	3097	487
864	3101	484
865	3104	480
866	3108	476
867	3112	473
868	3116	469
869	3120	466
870	3124	462
871	3127	459
872	3131	455
873	3135	451
874	3139	448
875	3143	444
876	3147	441
877	3150	437
878	3154	434
879	3157	430
880	3161	427
881	3165	423
882	3168	419
883	3172	416
884	3175	412
885	3179	409
886	3182	405
887	3186	401
888	3190	398
889	3194	394
890	3197	391
891	3201	387
892	3204	383
893	3208	380
894	3211	376
895	3215	373
896	3219	369
897	3222	366
898	3226	362
899	3229	358
900	3233	355
901	3237	351
902	3240	348
903	3243	344
904	3247	340
905	3251	337
906	3254	333
907	3258	330
908	3261	326
909	3265	322
910	3268	319
911	3272	315
912	3275	312
913	3279	308
914	3282	304
915	3286	301
916	3290	297
917	3293	294
918	3297	290
919	3301	287
920	3304	283
921	3307	279
922	3311	276
923	3315	272
924	3318	269
925	3322	265
926	3325	261
927	3329	258
928	3332	254
929	3336	251
930	3339	247
931	3343	243
932	3346	240
933	3350	236
934	3354	233
935	3357	229
936	3361	225
937	3364	222
938	3368	218
939	3371	215
940	3375	211
941	3378	208
942	3382	204
943	3385	200
944	3389	197
945	3392	193
946	3396	190
947	3400	186
948	3403	182
949	3406	179
950	3410	175
951	3414	172
952	3418	168
953	3421	164
954	3424	161
955	3428	157
956	3432	154
957	3435	150
958	3438	147
959	3442	143
960	3446	139
961	3450	136
962	3453	132
963	3457	129
964	3461	125
965	3465	121
966	3468	118
967	3472	114
968	3475	111
969	3479	107
970	3483	104
971	3486	100
972	3489	96
973	3510	93
974	3513	90
975	3517	86
976	3520	82
977	3524	79
978	3528	75
979	3531	72
980	3535	68
981	3538	64
982	3542	61
983	3545	57
984	3549	54
985	3553	50
986	3557	46
987	3561	43
988	3564	39
989	3568	36
990	3572	32
991	3576	28
992	3579	25
993	3583	21
994	3587	18
995	3590	14
996	3594	10
997	3598	7
998	3601	3
999	3605	0
